Date,Description,Card Member,Account #,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
08/28/2026,AUDIBLE,NATE T,-1008,18.99,AUDIBLE,AUDIBLE,,,,,AUD828,Entertainment
08/27/2026,REGAL CINEMAS,NATE T,-1008,31.40,REGAL CINEMAS,REGAL CINEMAS,AUBURN HILLS,AUBURN HILLS/MI,48326,UNITED STATES,REG827,Entertainment
08/26/2026,GREAT WOLF LODGE,NATE T,-1008,156.00,GREAT WOLF LODGE,GREAT WOLF LODGE,,,,,GWL826,Travel-Lodging
08/25/2026,BIGGBY COFFEE,NATE T,-1008,9.75,BIGGBY COFFEE,BIGGBY COFFEE,AUBURN HILLS,AUBURN HILLS/MI,48326,UNITED STATES,BGB825,Restaurant
08/23/2026,PANERA BREAD #6021,NATE T,-1008,28.90,PANERA BREAD,PANERA BREAD,,,,,PNR823,Restaurant
08/22/2026,MEIJER #184 AUBURN HILLS,NATE T,-1008,73.15,MEIJER #184,MEIJER #184,AUBURN HILLS,AUBURN HILLS/MI,48326,UNITED STATES,MJR822,Merchandise & Supplies-Groceries
08/18/2026,NYTIMES DIGITAL,NATE T,-1008,17.00,NYTIMES DIGITAL,NYTIMES DIGITAL,,,,,NYT818,Entertainment
08/17/2026,TARGET T- 000184,NATE T,-1008,112.30,TARGET,TARGET,AUBURN HILLS,AUBURN HILLS/MI,48326,UNITED STATES,TGT817,Merchandise & Supplies
08/14/2026,PLANET FITNESS,NATE T,-1008,24.99,PLANET FITNESS,PLANET FITNESS,,,,,PLF814,Merchandise & Supplies
08/11/2026,APPLE.COM/BILL,NATE T,-1008,2.99,ICLOUD,APPLE.COM/BILL,,,,,APL811,Merchandise & Supplies-Internet Purchase
08/09/2026,GOOGLE *YOUTUBE MEMBERSHIP,NATE T,-1008,13.99,YOUTUBE,GOOGLE *YOUTUBE,,,,,YTF809,Entertainment
08/08/2026,PAYMENT THANK YOU,NATE T,-1008,-1850.00,PAYMENT THANK YOU,PAYMENT THANK YOU,,,,,PMT808,Payments and Credits
08/07/2026,SPOTIFY USA,NATE T,-1008,16.99,SPOTIFY,SPOTIFY USA,,,,,SPT807,Entertainment
08/06/2026,NETFLIX.COM,NATE T,-1008,15.49,NETFLIX,NETFLIX.COM,,,,,NFX806,Entertainment
08/04/2026,COSTCO WHSE #1234,NATE T,-1008,64.12,COSTCO,COSTCO WHSE #1234,AUBURN HILLS,AUBURN HILLS/MI,48326,UNITED STATES,CST804,Merchandise & Supplies-Groceries
08/02/2026,MEIJER #184 AUBURN HILLS,NATE T,-1008,128.44,MEIJER #184,MEIJER #184,AUBURN HILLS,AUBURN HILLS/MI,48326,UNITED STATES,MJR802,Merchandise & Supplies-Groceries
